UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2010,19,4482741,2304329,2178412,1764720,1655993,363039,353467,29000,28028,90654,85654,5028,4882,51888,50388,1810642,1700541,385070,375312,44493,43184,110540,104528,10318,9942,1871527,1783797,1368576,1296567,345304,336480,21467,21001,87723,82792,3759,3664,44698,43293,1408150,1334911,364247,355291,34129,33288,105400,99470,8139,7840,432802,394615,396144,359426,17735,16987,7533,7027,2931,2862,1269,1218,7190,7095,402492,365630,20823,20021,10364,9896,5140,5058,2179,2102
R,1,2010,20,4432878,2280733,2152145,1748722,1637245,357952,348044,29306,27763,90180,86090,4913,4821,49660,48182,1792686,1679687,378472,368313,44814,42922,108837,104243,10080,9718,1858690,1771818,1362241,1290181,341009,332046,21668,21049,87331,83450,3694,3678,42747,41414,1400121,1326685,358536,349385,34453,33491,103928,99569,7991,7749,422043,380327,386481,347064,16943,15998,7638,6714,2849,2640,1219,1143,6913,6768,392565,353002,19936,18928,10361,9431,4909,4674,2089,1969
R,1,2010,21,4309238,2217440,2091798,1708081,1597962,336968,328111,28197,26868,93085,88787,4916,4550,46193,45520,1748812,1637979,355314,346598,43046,41711,110980,106008,9713,9240,1804152,1724091,1328966,1261864,320867,312955,20807,20384,90296,86118,3666,3498,39550,39272,1363803,1296449,336438,328804,32939,32628,106217,101467,7628,7415,413288,367707,379115,336098,16101,15156,7390,6484,2789,2669,1250,1052,6643,6248,385009,341530,18876,17794,10107,9083,4763,4541,2085,1825
R,1,2010,22,4298537,2211358,2087179,1711545,1599839,329718,322836,28351,26677,92188,89034,4926,4567,44630,44226,1750732,1638651,347249,340583,43343,41437,109046,105790,9709,9103,1796162,1720127,1329888,1263883,313918,308154,20968,19971,89502,86463,3697,3539,38189,38117,1363415,1297343,328680,323305,33379,32142,104442,101418,7681,7337,415196,367052,381657,335956,15800,14682,7383,6706,2686,2571,1229,1028,6441,6109,387317,341308,18569,17278,9964,9295,4604,4372,2028,1766
R,1,2010,23,4278881,2204576,2074305,1711349,1595168,323241,314304,27962,26218,93536,91547,4897,4536,43591,42532,1749577,1632296,339581,331029,43064,40975,110271,107565,9640,8991,1789037,1710699,1329180,1262312,307487,299739,20539,19562,90896,89042,3677,3506,37258,36538,1361788,1294167,321207,313867,33013,31793,105775,103346,7619,7238,415539,363606,382169,332856,15754,14565,7423,6656,2640,2505,1220,1030,6333,5994,387789,338129,18374,17162,10051,9182,4496,4219,2021,1753
R,1,2010,24,4352178,2245358,2106820,1748029,1621207,323955,315189,28298,26591,97703,97100,4958,4606,42415,42127,1785006,1657883,339499,331293,43520,41733,114127,112998,9647,9091,1819213,1740048,1354576,1284600,308786,301054,20816,20022,95104,94573,3730,3592,36201,36207,1386108,1316075,321724,314678,33378,32652,109744,108729,7639,7375,426145,366772,393453,336607,15169,14135,7482,6569,2599,2527,1228,1014,6214,5920,398898,341808,17775,16615,10142,9081,4383,4269,2008,1716
R,1,2010,25,4294978,2215036,2079942,1724669,1599971,315412,306284,27981,26031,101102,102207,5155,4619,40717,40830,1760059,1635405,329961,321374,42695,40857,117046,117968,9813,9114,1785524,1715874,1327934,1265241,300294,292657,20461,19598,98356,99723,3853,3660,34626,34995,1357977,1295566,312300,305299,32576,31893,112549,113796,7754,7403,429512,364068,396735,334730,15118,13627,7520,6433,2746,2484,1302,959,6091,5835,402082,339839,17661,16075,10119,8964,4497,4172,2059,1711
R,1,2010,26,4292503,2217385,2075118,1728018,1593503,312764,303835,27534,25722,104207,107864,5128,4655,39734,39539,1762392,1627570,326615,318058,42354,40410,119718,123337,9756,9114,1774514,1708000,1317942,1255475,297562,290197,19975,19402,101629,105409,3791,3669,33615,33848,1346909,1284574,308875,302128,32147,31588,115409,119209,7699,7391,442871,367118,410076,338028,15202,13638,7559,6320,2578,2455,1337,986,6119,5691,415483,342996,17740,15930,10207,8822,4309,4128,2057,1723
R,1,2010,27,4364279,2252050,2112229,1756386,1620619,313577,307183,28166,25779,109958,114311,5063,4667,38900,39670,1789897,1654747,327050,321434,42758,40450,125054,129817,9681,9281,1786372,1734126,1324375,1272151,297973,293148,20159,19514,107186,111800,3677,3644,33002,33869,1352725,1301170,308913,304964,32247,31671,120673,125683,7563,7572,465678,378103,432011,348468,15604,14035,8007,6265,2772,2511,1386,1023,5898,5801,437172,353577,18137,16470,10511,8779,4381,4134,2118,1709
R,1,2010,28,4347413,2218350,2129063,1730056,1628245,305357,311686,26448,24140,113931,121079,5247,5033,37311,38880,1761629,1660892,317739,325912,40344,38123,129246,136817,10202,10059,1755443,1751686,1300964,1280893,289385,296906,18566,18078,111159,118556,3866,4023,31503,33230,1327443,1308658,299257,308639,30000,29739,124899,132633,8109,8323,462907,377377,429092,347352,15972,14780,7882,6062,2772,2523,1381,1010,5808,5650,434186,352234,18482,17273,10344,8384,4347,4184,2093,1736
